time,temperature,precip_prob,country_region,request_city
2026-07-15T00:00,24.6,100,Asia,Gimpo-si
2026-07-15T01:00,24.7,100,Asia,Gimpo-si
2026-07-15T02:00,24.7,100,Asia,Gimpo-si
2026-07-15T03:00,24.7,100,Asia,Gimpo-si
2026-07-15T04:00,24.6,100,Asia,Gimpo-si
2026-07-15T05:00,24.6,100,Asia,Gimpo-si
2026-07-15T06:00,24.5,98,Asia,Gimpo-si
2026-07-15T07:00,24.6,93,Asia,Gimpo-si
2026-07-15T08:00,25.0,86,Asia,Gimpo-si
2026-07-15T09:00,25.5,82,Asia,Gimpo-si
2026-07-15T10:00,24.5,84,Asia,Gimpo-si
2026-07-15T11:00,24.1,88,Asia,Gimpo-si
2026-07-15T12:00,26.7,86,Asia,Gimpo-si
2026-07-15T13:00,26.9,73,Asia,Gimpo-si
2026-07-15T14:00,27.2,54,Asia,Gimpo-si
2026-07-15T15:00,26.9,37,Asia,Gimpo-si
2026-07-15T16:00,27.0,22,Asia,Gimpo-si
2026-07-15T17:00,27.1,9,Asia,Gimpo-si
2026-07-15T18:00,26.5,0,Asia,Gimpo-si
2026-07-15T19:00,25.4,0,Asia,Gimpo-si
2026-07-15T20:00,24.4,0,Asia,Gimpo-si
2026-07-15T21:00,23.8,0,Asia,Gimpo-si
2026-07-15T22:00,23.5,0,Asia,Gimpo-si
2026-07-15T23:00,23.2,0,Asia,Gimpo-si
2026-07-16T00:00,22.5,0,Asia,Gimpo-si
2026-07-16T01:00,22.0,0,Asia,Gimpo-si
2026-07-16T02:00,21.7,0,Asia,Gimpo-si
2026-07-16T03:00,21.9,0,Asia,Gimpo-si
2026-07-16T04:00,22.0,0,Asia,Gimpo-si
2026-07-16T05:00,21.9,0,Asia,Gimpo-si
2026-07-16T06:00,21.9,0,Asia,Gimpo-si
2026-07-16T07:00,22.1,0,Asia,Gimpo-si
2026-07-16T08:00,22.3,0,Asia,Gimpo-si
2026-07-16T09:00,23.0,0,Asia,Gimpo-si
2026-07-16T10:00,24.6,4,Asia,Gimpo-si
2026-07-16T11:00,26.9,9,Asia,Gimpo-si
2026-07-16T12:00,28.8,12,Asia,Gimpo-si
2026-07-16T13:00,30.4,12,Asia,Gimpo-si
2026-07-16T14:00,29.9,10,Asia,Gimpo-si
2026-07-16T15:00,28.7,8,Asia,Gimpo-si
2026-07-16T16:00,27.6,7,Asia,Gimpo-si
2026-07-16T17:00,26.5,5,Asia,Gimpo-si
2026-07-16T18:00,25.5,4,Asia,Gimpo-si
2026-07-16T19:00,24.7,3,Asia,Gimpo-si
2026-07-16T20:00,24.0,3,Asia,Gimpo-si
2026-07-16T21:00,23.5,4,Asia,Gimpo-si
2026-07-16T22:00,23.0,6,Asia,Gimpo-si
2026-07-16T23:00,22.7,9,Asia,Gimpo-si
2026-07-17T00:00,22.6,12,Asia,Gimpo-si
2026-07-17T01:00,22.1,14,Asia,Gimpo-si
2026-07-17T02:00,22.0,15,Asia,Gimpo-si
2026-07-17T03:00,21.9,16,Asia,Gimpo-si
2026-07-17T04:00,21.5,16,Asia,Gimpo-si
2026-07-17T05:00,21.5,15,Asia,Gimpo-si
2026-07-17T06:00,21.3,14,Asia,Gimpo-si
2026-07-17T07:00,21.5,14,Asia,Gimpo-si
2026-07-17T08:00,22.0,14,Asia,Gimpo-si
2026-07-17T09:00,23.4,14,Asia,Gimpo-si
2026-07-17T10:00,25.0,12,Asia,Gimpo-si
2026-07-17T11:00,26.1,9,Asia,Gimpo-si
2026-07-17T12:00,27.2,8,Asia,Gimpo-si
2026-07-17T13:00,28.3,9,Asia,Gimpo-si
2026-07-17T14:00,28.8,11,Asia,Gimpo-si
2026-07-17T15:00,28.7,14,Asia,Gimpo-si
2026-07-17T16:00,27.5,17,Asia,Gimpo-si
2026-07-17T17:00,25.8,21,Asia,Gimpo-si
2026-07-17T18:00,25.2,24,Asia,Gimpo-si
2026-07-17T19:00,24.8,24,Asia,Gimpo-si
2026-07-17T20:00,24.4,22,Asia,Gimpo-si
2026-07-17T21:00,23.9,22,Asia,Gimpo-si
2026-07-17T22:00,23.6,23,Asia,Gimpo-si
2026-07-17T23:00,23.8,26,Asia,Gimpo-si
